id,long,lat,ECO_CODE,WWF_MHTNUM,C:wdist3,C:wdist4,C:wdist5,C:wdist6,C:wdist7,C:wdist8,C:ones3,C:ones4,C:ones5,C:ones6,C:ones7,C:ones8,C:sizes3,C:sizes4,C:sizes5,C:sizes6,C:sizes7,C:sizes8
enabled_col,0,0,F,F,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
163415,96.7507,23.97386,IM0117,E:eb1,S2,S3,S4,S5,S6,S7,S1,S1,S1,S2,S2,S2,S0,S0,S1,S1,S1,S1
163416,97.2422,23.97386,IM0137,E:eb1,S2,S3,S4,S5,S6,S7,S1,S1,S1,S2,S2,S2,S0,S0,S1,S1,S1,S1
163417,97.7338,23.97386,IM0137,E:eb1,S2,S2,S3,S4,S5,S5,S1,S1,S2,S3,S3,S3,S1,S1,S2,S3,S3,S3
163418,98.2253,23.97386,IM0137,E:eb1,S2,S2,S3,S4,S5,S5,S1,S1,S2,S3,S3,S3,S1,S1,S2,S3,S3,S3
163419,98.7169,23.97386,IM0137,E:eb1,S2,S3,S4,S5,S6,S7,S1,S1,S1,S2,S2,S2,S1,S1,S2,S3,S3,S3
163420,99.2085,23.97386,IM0137,E:eb1,S2,S2,S3,S4,S5,S5,S1,S1,S2,S3,S3,S3,S1,S1,S2,S3,S3,S3
163421,99.7,23.97386,IM0137,E:eb1,S2,S2,S3,S4,S5,S5,S1,S1,S2,S3,S3,S3,S1,S1,S2,S3,S3,S3
163422,100.1916,23.97386,IM0137,E:eb1,S2,S3,S4,S5,S6,S7,S1,S1,S1,S2,S2,S2,S1,S1,S2,S3,S3,S3
163423,100.6832,23.97386,IM0137,E:eb1,S2,S2,S3,S4,S5,S5,S1,S1,S2,S3,S3,S3,S1,S1,S2,S3,S3,S3
163424,101.1747,23.97386,IM0137,E:eb1,S2,S2,S3,S4,S5,S5,S1,S1,S2,S3,S3,S3,S1,S1,S2,S3,S3,S3
163425,101.6663,23.97386,PA0102,E:eb1,S2,S2,S3,S4,S5,S5,S1,S1,S2,S3,S3,S3,S1,S1,S2,S3,S3,S3
163426,102.1579,23.97386,PA0102,E:eb1,S2,S2,S3,S4,S5,S5,S1,S1,S2,S3,S3,S3,S1,S1,S2,S3,S3,S3
